rgi_id,glims_id,cenlon,cenlat,glac_name,Name1,Local_script1,Language1,Meaning1,Source1,Contributor
RGI2000-v7.0-G-14-00135,G069770E35560N,69.77240032,35.5608915,,,,,,,
RGI2000-v7.0-G-14-00136,G069788E35560N,69.78764476,35.5593325,,,,,,,
RGI2000-v7.0-G-14-00137,G069618E35515N,69.61628396,35.5126605,,,,,,,
RGI2000-v7.0-G-14-00138,G069704E35708N,69.70355439,35.707719,,,,,,,
RGI2000-v7.0-G-14-00139,G069701E35712N,69.7012974,35.7124775,,,,,,,
RGI2000-v7.0-G-14-00140,G069747E35762N,69.74547982,35.7612595,,,,,,,
RGI2000-v7.0-G-14-00141,G069739E35769N,69.74031134,35.7678095,,,,,,,
RGI2000-v7.0-G-14-00142,G069737E35767N,69.73705025,35.766908,,,,,,,
RGI2000-v7.0-G-14-00143,G069736E35769N,69.73641619,35.7687235,,,,,,,
RGI2000-v7.0-G-14-00144,G069730E35771N,69.73045166,35.77136,,,,,,,
RGI2000-v7.0-G-14-00145,G069721E35775N,69.72100389,35.775378,,,,,,,
RGI2000-v7.0-G-14-00146,G069736E35785N,69.73566229,35.784877,,,,,,,
RGI2000-v7.0-G-14-00147,G069752E35776N,69.75247434,35.775544,,,,,,,
RGI2000-v7.0-G-14-00148,G069854E35805N,69.85363422,35.8048615,,,,,,,
RGI2000-v7.0-G-14-00149,G069859E35808N,69.85890824,35.8087365,,,,,,,
RGI2000-v7.0-G-14-00150,G069866E35809N,69.86614793,35.8092245,,,,,,,
RGI2000-v7.0-G-14-00151,G069870E35800N,69.8691715,35.800064,,,,,,,
RGI2000-v7.0-G-14-00152,G069879E35799N,69.87867312,35.7992255,,,,,,,
RGI2000-v7.0-G-14-00153,G069888E35794N,69.88715721,35.7938505,,,,,,,
RGI2000-v7.0-G-14-00154,G069884E35789N,69.88412657,35.7890125,,,,,,,
RGI2000-v7.0-G-14-00155,G069896E35794N,69.89890724,35.795376,,,,,,,
RGI2000-v7.0-G-14-00156,G069911E35793N,69.91224599,35.793406,,,,,,,
RGI2000-v7.0-G-14-00157,G069914E35786N,69.91390479,35.786308,,,,,,,
RGI2000-v7.0-G-14-00158,G069918E35784N,69.91815764,35.784052,,,,,,,
RGI2000-v7.0-G-14-00159,G069923E35783N,69.92273549,35.783014,,,,,,,
RGI2000-v7.0-G-14-00160,G069924E35778N,69.9243023,35.778475,,,,,,,
RGI2000-v7.0-G-14-00161,G069913E35780N,69.91305144,35.779753,,,,,,,
RGI2000-v7.0-G-14-00162,G069909E35780N,69.90678607,35.777527,,,,,,,
